round,accuracy,fl
2,0.200000003,1694.801715
3,0.26699999,1697.723103
4,0.340999991,1612.42836
5,0.371399999,1601.575356
6,0.379500002,1607.446595
7,0.386299998,1528.465327
8,0.394199997,1519.848206
9,0.387199998,1521.345517
10,0.381199986,1426.749127
11,0.369199991,1438.588732
,0.347699996,1564.897204
