round,accuracy,fl
2,0.670400023,130.2611105
3,0.709100008,127.5212381
4,0.735300004,125.2339498
5,0.752799988,129.2134103
6,0.762099981,125.4556163
7,0.771600008,125.8744211
8,0.777199984,123.9564656
9,0.784300029,122.1743173
10,0.79339999,124.0278736
11,0.800999999,125.0042363
,0.755720001,125.8722639
