round,accuracy,fl
2,0.281199992,683.5274609
3,0.358900011,672.9396135
4,0.387300014,625.3689054
5,0.411900014,627.9940824
6,0.425999999,635.0326347
7,0.438699991,601.9259545
8,0.442499995,590.7421933
9,0.446399987,590.9362533
10,0.44569999,552.3322294
11,0.448500007,553.0391124
,0.40871,613.383844
