round,accuracy,fl
2,0.851300001,125.0991851
3,0.907400012,125.0006132
4,0.930000007,124.0693114
5,0.941799998,128.7450313
6,0.948700011,126.1584862
7,0.95450002,127.92987
8,0.957499981,124.1501382
9,0.961199999,123.8881693
10,0.963800013,127.7495332
11,0.966199994,124.2245689
,0.938240004,125.7014907
