round,accuracy,fl
2,0.885800004,36463.02093
3,0.940400004,36393.70864
4,0.952700019,36385.32911
5,0.961099982,36460.47038
6,0.965600014,36327.10394
7,0.970799983,36606.99643
8,0.973699987,36338.24812
9,0.975399971,36572.24772
10,0.977400005,36459.05234
11,0.979399979,36399.99307
,0.958229995,36440.61707
