round,accuracy,fl
2,0.242300004,162.7610005
3,0.279000014,157.4604126
4,0.337300003,159.6409437
5,0.363200009,157.3688817
6,0.378100008,152.4766801
7,0.391400009,152.8729548
8,0.405600011,154.100188
9,0.415100008,153.6752516
10,0.421299994,153.6714619
11,0.42840001,151.5917757
,0.366170007,155.5619551
