round,accuracy,fl
2,0.195874304,1751.966836
3,0.322487712,1753.017221
4,0.510871232,1660.224449
5,0.61547327,1660.776849
6,0.680854321,1663.940544
7,0.716694832,1569.642031
8,0.739128768,1567.694022
9,0.752612174,1573.674628
10,0.759718835,1479.559905
11,0.763176084,1483.347569
,0.605689153,1616.384405
