round,accuracy,fl
2,0.670400023,131.7329639
3,0.709299982,126.5871483
4,0.734099984,127.9088027
5,0.752300024,128.178167
6,0.760999978,131.3779175
7,0.771200001,127.3707577
8,0.778100014,132.3140676
9,0.783900023,125.9907015
10,0.793200016,128.3544089
11,0.800999999,127.2307842
,0.755450004,128.7045719
