round,accuracy,fl
2,0.885800004,144.4934375
3,0.940500021,144.9240128
4,0.953299999,147.9709145
5,0.961099982,149.4239922
6,0.965600014,146.3921283
7,0.970499992,144.7910098
8,0.97359997,146.3923401
9,0.975199997,144.9255056
10,0.977500021,146.957663
11,0.979200006,146.7835617
,0.958230001,146.3054565
