round,accuracy,fl
2,0.719500005,36440.22807
3,0.749599993,36356.84535
4,0.768299997,36427.89425
5,0.781499982,36407.80622
6,0.797900021,36333.51322
7,0.808399975,36463.10459
8,0.816999972,36207.37006
9,0.824599981,36406.64161
10,0.830299973,36425.12882
11,0.834999979,36193.64775
,0.793209988,36366.21799
