round,accuracy,fl
2,0.719500005,145.5826197
3,0.74940002,146.2845701
4,0.767199993,145.8342641
5,0.781000018,146.8987352
6,0.798399985,145.4465933
7,0.808499992,146.0158758
8,0.817399979,146.6216535
9,0.824299991,145.4912488
10,0.8301,144.7067086
11,0.835399985,145.1875788
,0.793119997,145.8069848
