round,accuracy,fl
2,0.885800004,10617.30091
3,0.940500021,9151.490919
4,0.953299999,9116.152288
5,0.961099982,9083.861141
6,0.965600014,9049.940749
7,0.970499992,9043.496722
8,0.97359997,9150.144662
9,0.975199997,9091.675273
10,0.977500021,9062.103489
11,0.979200006,9084.890833
,0.958230001,9245.105698
