round,accuracy,fl
2,0.719500005,1837.393153
3,0.74970001,1775.76581
4,0.766700029,1821.475567
5,0.781599998,1814.856206
6,0.797100008,1785.410804
7,0.808200002,1766.523328
8,0.817300022,1784.043381
9,0.824999988,1771.693085
10,0.830600023,1769.923946
11,0.834699988,1784.057013
,0.793040007,1791.114229
