round,accuracy,fl
2,0.195874304,2524.275468
3,0.476452053,2578.595242
4,0.686155498,2529.274135
5,0.753610969,2552.945961
6,0.788145363,2550.146715
7,0.806968331,2570.472858
8,0.818531036,2541.301994
9,0.825176716,2523.805161
10,0.831322968,2547.326875
11,0.836854637,2534.763209
,0.701909187,2545.290762
